epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.955,1.77216,2.50843,2.37206,2.00557,0.34845,0.27249,0.2735,0.19721,0.34267,0.27185,0.27013,0.18171,1.4492,2.48554,2.29733,1.80958,0.0700713,0.00332542,0.00332542
2,308.82,1.03043,1.80139,1.68496,1.38364,0.32857,0.54277,0.39549,0.31709,0.32769,0.5432,0.39542,0.30391,0.91995,1.84428,1.99131,1.38525,0.0398881,0.00647563,0.00647563
3,459.649,0.90541,1.60164,1.51645,1.2981,0.47103,0.60713,0.53528,0.45459,0.47309,0.60947,0.53761,0.44605,0.73231,1.30151,1.30891,1.21976,0.00952169,0.00944252,0.00944252
4,612.71,0.83887,1.5001,1.41423,1.24401,0.55642,0.61543,0.58537,0.50675,0.55637,0.61662,0.58546,0.50007,0.67212,1.19621,1.13654,1.15551,0.009175,0.009175,0.009175
5,763.713,0.78335,1.38762,1.31848,1.20764,0.57792,0.63547,0.62072,0.53757,0.57828,0.63762,0.62205,0.53771,0.65153,1.10756,1.09918,1.13437,0.0089,0.0089,0.0089
6,915.382,0.75077,1.33657,1.2662,1.18116,0.57179,0.645,0.64842,0.5665,0.57419,0.64659,0.65153,0.56201,0.61388,1.01097,1.0645,1.11511,0.008625,0.008625,0.008625
7,1066.39,0.73197,1.33191,1.23803,1.1612,0.63601,0.66269,0.68895,0.60926,0.63821,0.66549,0.69099,0.60835,0.58688,0.94924,0.94278,1.08161,0.00835,0.00835,0.00835
8,1215.44,0.70826,1.24913,1.18413,1.14091,0.6651,0.67597,0.69963,0.62409,0.66711,0.67539,0.70026,0.62739,0.56926,0.89195,0.90939,1.0726,0.008075,0.008075,0.008075
9,1365.63,0.686,1.23241,1.161,1.12816,0.66323,0.68915,0.70682,0.63708,0.65935,0.69259,0.70753,0.63379,0.54467,0.87311,0.89423,1.04255,0.0078,0.0078,0.0078
10,1516.53,0.67539,1.2328,1.1517,1.12048,0.65377,0.68349,0.71007,0.63946,0.65462,0.68428,0.71086,0.63776,0.542,0.84398,0.88039,1.04489,0.007525,0.007525,0.007525
