epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.846,1.74719,3.24784,2.35884,2.05548,0.30375,0.26918,0.23615,0.1869,0.30519,0.26859,0.23699,0.17357,1.34188,2.87157,2.27638,1.70314,0.0700713,0.00332542,0.00332542
2,226.691,1.00136,2.35646,1.67404,1.40133,0.43733,0.56318,0.47811,0.4046,0.43765,0.56336,0.47925,0.38296,0.8146,2.10151,1.37355,1.26453,0.0398881,0.00647563,0.00647563
3,302.539,0.88286,2.08555,1.49307,1.29801,0.44922,0.58989,0.52016,0.44313,0.4477,0.58879,0.51926,0.43924,0.7567,1.79887,1.3478,1.23392,0.00952169,0.00944252,0.00944252
4,377.634,0.80825,1.94122,1.37762,1.24669,0.51944,0.61814,0.57141,0.48898,0.51973,0.61835,0.57155,0.49109,0.71641,1.51813,1.27977,1.17552,0.009175,0.009175,0.009175
5,450.795,0.75236,1.80127,1.28827,1.2,0.58474,0.65655,0.6542,0.57142,0.58647,0.65798,0.6561,0.5708,0.63179,1.41244,1.01934,1.10798,0.0089,0.0089,0.0089
6,523.512,0.71874,1.73046,1.2302,1.16865,0.48834,0.57876,0.55234,0.4783,0.48707,0.57692,0.55086,0.47677,0.67858,1.66629,1.27983,1.13049,0.008625,0.008625,0.008625
7,595.72,0.70098,1.71922,1.19847,1.15665,0.63843,0.67333,0.68208,0.60426,0.64069,0.67177,0.68295,0.60201,0.59442,1.24997,0.91203,1.08221,0.00835,0.00835,0.00835
8,667.995,0.67748,1.62751,1.15509,1.13624,0.61645,0.66902,0.67865,0.59675,0.61774,0.67147,0.6808,0.59838,0.58932,1.24357,0.95978,1.08156,0.008075,0.008075,0.008075
9,740.522,0.65323,1.61154,1.11939,1.11994,0.66993,0.6858,0.71536,0.63957,0.67035,0.68768,0.71634,0.63783,0.56344,1.1789,0.88199,1.05412,0.0078,0.0078,0.0078
10,811.377,0.64827,1.5988,1.11259,1.11639,0.67828,0.69655,0.71851,0.64234,0.67659,0.70035,0.72067,0.64945,0.54855,1.13002,0.85253,1.04083,0.007525,0.007525,0.007525
11,885.229,0.63396,1.53948,1.0801,1.10277,0.68397,0.69052,0.72209,0.64792,0.68181,0.694,0.72321,0.64822,0.54402,1.13656,0.85919,1.04104,0.00725,0.00725,0.00725
12,958.118,0.62478,1.55887,1.06731,1.09624,0.68788,0.69321,0.72233,0.65228,0.68711,0.69923,0.72399,0.65306,0.53491,1.12038,0.83435,1.03235,0.006975,0.006975,0.006975
13,1029.2,0.61391,1.49498,1.04882,1.08966,0.71445,0.70406,0.74744,0.67386,0.71477,0.70726,0.74848,0.67465,0.53,1.08675,0.78848,1.02892,0.0067,0.0067,0.0067
14,1099.53,0.60058,1.45681,1.02917,1.07605,0.69983,0.69851,0.72586,0.65932,0.69988,0.69949,0.72643,0.66156,0.53333,1.10003,0.8043,1.0266,0.006425,0.006425,0.006425
15,1171.46,0.59622,1.47699,1.01644,1.07267,0.7002,0.73033,0.75665,0.6902,0.70025,0.73034,0.75759,0.68992,0.512,1.05431,0.77037,1.01411,0.00615,0.00615,0.00615
16,1241.37,0.58376,1.44442,1.01366,1.06663,0.73444,0.72699,0.77056,0.70144,0.73572,0.72942,0.7728,0.70118,0.50413,1.03906,0.73268,1.00762,0.005875,0.005875,0.005875
17,1312.12,0.58129,1.4295,0.99619,1.06224,0.73375,0.71777,0.76203,0.69521,0.73444,0.71833,0.76306,0.69498,0.49259,1.01448,0.74182,0.99701,0.0056,0.0056,0.0056
18,1381.51,0.57186,1.39499,0.9801,1.05497,0.72151,0.73152,0.763,0.69683,0.72335,0.72927,0.76377,0.69878,0.48825,1.00621,0.73295,0.99403,0.005325,0.005325,0.005325
19,1452.43,0.56792,1.39078,0.97516,1.04983,0.73401,0.73556,0.77562,0.70757,0.73347,0.73989,0.77743,0.70707,0.48402,1.00117,0.71233,0.99541,0.00505,0.00505,0.00505
20,1521.89,0.5662,1.3929,0.96176,1.05001,0.7325,0.72892,0.77272,0.70867,0.73389,0.72817,0.77301,0.70421,0.4799,0.99757,0.72332,0.98846,0.004775,0.004775,0.004775
21,1592.41,0.56089,1.39973,0.96532,1.04544,0.74824,0.72382,0.76653,0.70685,0.74935,0.72492,0.76736,0.70435,0.47325,0.97286,0.72533,0.98701,0.0045,0.0045,0.0045
22,1662.01,0.55198,1.34377,0.94385,1.03972,0.75082,0.71413,0.76481,0.70238,0.75031,0.71722,0.76632,0.70228,0.4749,0.96776,0.72421,0.98846,0.004225,0.004225,0.004225
23,1731.59,0.54918,1.35305,0.93745,1.03616,0.72341,0.75084,0.77284,0.71181,0.72334,0.75216,0.77393,0.70718,0.46663,0.96066,0.70675,0.98454,0.00395,0.00395,0.00395
24,1800.43,0.54512,1.34059,0.92841,1.03274,0.74421,0.73662,0.77659,0.71179,0.74071,0.74093,0.77721,0.7104,0.46954,0.95982,0.71108,0.97954,0.003675,0.003675,0.003675
25,1869.66,0.53608,1.32565,0.91818,1.02595,0.757,0.73018,0.77851,0.7166,0.75774,0.73088,0.77925,0.71344,0.4652,0.95371,0.70008,0.9801,0.0034,0.0034,0.0034
26,1941.1,0.53254,1.30251,0.91086,1.02191,0.75261,0.74351,0.7854,0.72284,0.75385,0.74602,0.78709,0.71906,0.46009,0.93418,0.68018,0.97358,0.003125,0.003125,0.003125
27,2006.54,0.4327,0.84458,0.65189,0.94798,0.73962,0.74997,0.78832,0.72821,0.74026,0.75056,0.78898,0.72901,0.46483,0.92563,0.67283,0.97335,0.00285,0.00285,0.00285
